,Internal Contact ID,Latitude,Longitude,BOROUGH,CUR_UNIT11,DEVELOPMEN,NONRES_BLD,RES_BLDG,TDS_NUM,TOT_POP11
89,912,40.7173846,-73.9782433,MANHATTAN,2194.0,BARUCH,1.0,17.0,060,5274.0
94,917,40.6941761,-73.9811179,BROOKLYN,1826.0,INGERSOLL,1.0,20.0,014,3227.0
168,1092,40.791862,-73.969814,MANHATTAN,70.0,WSUR (SITE A) 120 WEST 94TH STREET,0.0,1.0,151,154.0
169,1093,40.790859,-73.9674129,MANHATTAN,40.0,REHAB PROGRAM (WISE REHAB),0.0,1.0,517,63.0
170,1094,40.8847129,-73.843554,BRONX,2035.0,EDENWALD,2.0,40.0,057,5181.0
171,1095,40.8471022,-73.8879594,BRONX,219.0,TWIN PARKS EAST (SITE 9),0.0,1.0,287,229.0
202,1127,40.694918,-73.9421909,BROOKLYN,84.0,BEDFORD-STUYVESANT REHAB,0.0,3.0,311,193.0
204,1129,40.7049594,-73.9413143,BROOKLYN,509.0,BORINQUEN PLAZA I,2.0,8.0,243,1183.0
205,1130,40.718419,-73.93848,BROOKLYN,700.0,COOPER PARK,0.0,11.0,069,1566.0
209,1134,40.6947766,-73.9821425,BROOKLYN,1826.0,INGERSOLL,1.0,20.0,014,3227.0
224,1150,40.6755216,-74.0057678,BROOKLYN,1407.0,RED HOOK EAST,2.0,16.0,004,2940.0
225,1151,40.674648,-74.0052141,BROOKLYN,1407.0,RED HOOK EAST,2.0,16.0,004,2940.0
227,1153,40.574955,-73.992542,BROOKLYN,375.0,CONEY ISLAND I (SITES 4 & 5),1.0,1.0,216,1109.0
240,1170,40.7047738,-73.9418603,BROOKLYN,509.0,BORINQUEN PLAZA I,2.0,8.0,243,1183.0
241,1174,40.800879,-73.955525,MANHATTAN,156.0,REHAB PROGRAM (TAFT REHABS),0.0,3.0,516,314.0
272,1242,40.7981223,-73.9428875,MANHATTAN,1299.0,JOHNSON,0.0,10.0,017,2763.0
296,1279,40.8197037,-73.9184348,BRONX,1020.0,MELROSE,1.0,8.0,028,2445.0
299,1282,40.7987701,-73.9453448,MANHATTAN,1464.0,TAFT,1.0,9.0,097,3285.0
415,1460,40.82004,-73.939727,MANHATTAN,664.0,SAMUEL (CITY),2.0,40.0,377,1415.0
1768,3279,40.82689,-73.935883,MANHATTAN,574.0,HARLEM RIVER,0.0,7.0,003,996.0
1891,3552,40.67496,-73.924971,BROOKLYN,1157.0,KINGSBOROUGH,0.0,16.0,010,2430.0
